Aspect,Elevation,Height
North,Low,0.322483354
South,Low,0.317287526
North,High,0.19988973
South,High,0.168047931
North,Low,0.284303277
South,Low,0.290876264
North,High,0.221203665
South,High,0.140174286
North,Low,0.292264422
South,Low,0.255472901
North,High,0.140105079
South,High,0.191050816
North,Low,0.272620466
South,Low,0.259632206
North,High,0.225350122
South,High,0.168172998
North,Low,0.211067938
South,Low,0.246479718
North,High,0.159094033
South,High,0.141655777
North,Low,0.260393809
South,Low,0.265153121
North,High,0.149338687
South,High,0.161792075
North,Low,0.316351492
South,Low,0.310767494
North,High,0.174295622
South,High,0.180624426
North,Low,0.286004852
South,Low,0.289351966
North,High,0.183256131
South,High,0.134473803
North,Low,0.303737228
South,Low,0.342569773
North,High,0.227833025
South,High,0.190822881
North,Low,0.312867792
South,Low,0.22118451
North,High,0.207818575
South,High,0.195956061
North,Low,0.323915595
South,Low,0.279206846
North,High,0.189588421
South,High,0.16724894
North,Low,0.294117154
South,Low,0.241374899
North,High,0.216317312
South,High,0.234095899
North,Low,0.294469652
South,Low,0.272511694
North,High,0.238278093
South,High,0.201375334
North,Low,0.234348811
South,Low,0.294744699
North,High,0.181289566
South,High,0.21714853
North,Low,0.306918986
South,Low,0.248521553
North,High,0.171740233
South,High,0.213001549
North,Low,0.268300903
South,Low,0.260904366
North,High,0.183152044
South,High,0.146360893
North,Low,0.3261921
South,Low,0.283256241
North,High,0.15802409
South,High,0.165633428
North,Low,0.219280516
South,Low,0.244094086
North,High,0.231903188
South,High,0.150144135
North,Low,0.332321828
South,Low,0.246238622
North,High,0.194963702
South,High,0.237551294
North,Low,0.328456353
South,Low,0.266668421
North,High,0.256982773
South,High,0.14693074
